feature,class
"[-3.0417950e+02  8.2791031e+01 -1.3554518e+00  2.1867380e+01
 -2.2047808e+01 -1.6126609e+00 -1.9820427e+01 -1.4891531e+01
 -1.9332680e+01 -1.1895344e+01 -1.0529735e+01 -5.1414576e+00
 -1.9028893e+01 -4.1343255e+00 -1.4814213e+01 -7.2501645e+00
 -1.6210184e+01 -7.0293703e+00 -1.3662216e+01 -9.7734556e+00
 -8.5965319e+00 -1.0247755e+01 -1.1001676e+01 -3.7483721e+00
 -8.4039507e+00 -2.2811754e+00 -2.6182599e+00  1.0560532e+00
  5.2890986e-01  1.5576055e+00 -4.4797352e-01 -2.6658040e-01
  2.2145078e+00  4.3307619e+00  3.8205242e+00  2.8346155e+00
  9.4348586e-01  4.4067538e-01  4.2223743e-01  2.5122168e+00]",Sarah Silverman
"[-3.4570309e+02  6.9394783e+01 -2.1673492e+01  7.3723454e+00
 -8.0083981e+00 -8.9508018e+00 -1.7473413e+01 -1.3100177e+01
 -1.0012046e+01  4.5372038e+00 -2.1976273e+01 -4.2594981e+00
 -1.0078656e+01  2.2046368e+00 -8.6452961e+00 -6.3179946e+00
 -7.8024883e+00 -7.5244045e-01 -3.4102306e+00  4.6037064e+00
 -2.4948747e+00 -5.6590238e+00 -5.7577748e+00 -3.0413795e+00
 -5.0829282e+00  4.1785339e-01 -2.4638362e+00 -2.1859732e+00
  1.9403346e+00  2.5033784e+00  2.4822490e+00 -2.7092376e+00
 -6.5017098e-01 -1.6481966e+00 -4.9233934e-01  1.2238266e+00
 -1.8560195e+00 -5.2471559e-02 -3.3788342e+00 -1.6449077e+00]",Sofia Franklyn
"[-4.62621643e+02  8.99325333e+01 -6.25791740e+00  2.66965027e+01
  1.20052948e+01  1.72302210e+00 -1.06280012e+01 -5.39132214e+00
 -5.84732771e+00  6.37230015e+00 -5.46911049e+00  6.89955807e+00
 -1.08781595e+01  7.46946764e+00 -8.42546582e-01  2.58475375e+00
 -5.42838573e+00  1.15731061e+00 -2.41635227e+00  1.55479193e+00
 -9.03086758e+00  4.60731983e+00 -1.25302684e+00 -3.81587887e+00
  5.26325643e-01 -1.04407096e+00 -3.91243243e+00 -9.49300408e-01
 -4.33518589e-01 -6.21165000e-02 -1.83962929e+00 -6.14825338e-02
 -1.90604258e+00 -6.63703978e-01 -3.57551670e+00 -1.70628488e+00
 -2.48068142e+00 -2.49488544e+00 -1.46279597e+00 -3.03394747e+00]",Bill Burr
"[-3.0181033e+02  4.2874344e+01 -3.7788601e+01  1.9856026e+01
 -1.4348698e+01 -5.7078952e-01 -2.0400089e+01 -1.9288784e+01
 -7.0847154e+00  1.2950853e+01 -1.9497246e+01 -4.3813200e+00
 -9.3049507e+00  6.1786246e+00 -5.9163961e+00 -2.1138420e+00
 -5.6207666e+00 -7.5239244e+00 -7.9126840e+00  1.1943978e+00
 -6.7982483e+00 -7.9391646e+00 -7.0411043e+00 -1.1829478e+00
 -5.0761933e+00  8.4517199e-01 -9.0578777e-01  2.9533131e+00
  6.0499830e+00  3.9428380e+00  5.3085642e+00  6.4308405e-01
  2.1258926e+00 -2.9699832e-01 -1.8969547e+00 -1.5822632e+00
 -4.0503073e+00 -8.1344128e-01 -3.4736357e+00 -2.1761224e+00]",Sofia Franklyn
"[-201.24472      91.10771     -46.64214       2.4172      -27.109217
  -10.85137     -21.493883    -19.989496    -21.151234      6.637263
  -20.255447      3.5489893   -18.269949      4.4256153    -8.677153
  -10.267905     -5.5577874    -4.295525    -14.589844     -1.8964505
   -9.348723     -1.3559849    -4.4492464     3.0481822    -4.5755644
    4.715919     -1.7985828     6.839132      4.2324905     2.8121035
    2.2639544    -2.218323      1.8068597    -0.60047954    1.415011
   -0.34657922   -3.3748708    -3.2118428    -3.069059      0.8987019 ]",Sofia Franklyn
"[-328.69345     70.694824    -9.503078    29.490671     3.232599
    0.7193127   -8.533527    -4.8576274  -10.476206    12.206464
  -14.423407     8.239279    -8.018057     1.7736566   -4.2380366
   -1.7092264  -11.149362     2.8194563   -6.912156    -4.348016
   -8.916072    -0.585852    -6.6064677   -4.039451    -5.758897
   -4.6343203   -5.081744    -4.9751987   -3.7955766   -2.901438
   -3.3770921   -3.248458    -4.2920613   -4.527591    -3.5257993
   -3.7952843   -3.5251706   -4.861083    -2.3032615   -3.0089102]",Andrew Santino
"[-2.9525024e+02  7.4145996e+01 -8.8597145e+00  2.6798817e+01
 -1.7731966e+01 -1.9260030e+00 -2.8892065e+01 -1.1720541e+01
 -2.4292440e+01 -1.2893526e+01 -1.5042577e+01 -9.2227125e+00
 -1.7457932e+01 -2.0345445e+00 -1.8867041e+01 -4.5770440e+00
 -1.5604540e+01 -8.0958824e+00 -1.1388312e+01 -5.6662226e+00
 -6.5101218e+00 -8.0291052e+00 -5.9191103e+00 -4.5978794e+00
 -9.0810890e+00 -2.3497968e+00 -6.8024001e+00 -3.2833533e+00
 -7.0104361e-01  7.2390139e-01 -1.9616947e-01  2.1472573e+00
  2.5454149e+00  7.6659226e+00  5.7175574e+00  6.8159037e+00
  2.7104678e+00  1.6456772e+00  1.5441586e+00 -8.4005773e-01]",Sarah Silverman
"[-4.3586835e+02  8.7004272e+01  7.7139039e+00  2.5696859e+01
  6.8024960e+00 -3.8620319e+00 -3.3074865e+00  1.5003088e+00
 -8.8202801e+00  9.0116873e+00 -9.2403822e+00  8.3599949e+00
 -6.8188672e+00  1.3491336e+00 -2.8126969e+00 -4.2504292e+00
 -5.4026918e+00  1.9297143e+00 -8.4830227e+00 -3.6818228e+00
 -7.5052581e+00 -1.5926622e-01 -8.1651535e+00 -4.6061807e+00
 -2.3555477e+00 -7.0832973e+00 -3.0073450e+00 -5.6499996e+00
 -4.4447298e+00 -3.7637901e+00 -3.0786331e+00 -3.9589195e+00
 -3.5221045e+00 -3.5869985e+00 -2.1731398e+00 -4.0871115e+00
 -3.2347653e+00 -2.6400692e+00 -1.7596245e+00 -2.9023459e+00]",Andrew Santino
"[-250.99458      62.84651     -49.23859       7.734164    -24.1693
  -16.99295     -23.898304    -13.067742    -14.5525055     7.2843075
  -22.798117     -3.3366823   -14.293564      4.4943585    -8.707026
   -4.372032     -3.912389      3.8318844     1.5221776     6.76459
    2.171743      2.7669282     2.8444874     9.008056      2.632999
    4.2651825    -3.1574047    -2.8894634    -0.55458075   -3.2174742
   -1.7070006    -5.015193     -2.1108875    -1.384268     -2.9522626
   -1.4817537    -2.6005898    -0.5206538    -1.213444     -2.5798163 ]",Sofia Franklyn
"[-2.92140625e+02  7.76349945e+01  5.90775847e-01  1.83447285e+01
 -2.20728168e+01  1.86269593e+00 -2.02374401e+01 -8.93476295e+00
 -1.61507378e+01 -9.71397781e+00 -1.15938015e+01 -1.01119671e+01
 -1.07637777e+01 -8.98716068e+00 -1.61464005e+01 -2.13979673e+00
 -1.60845509e+01 -5.84734917e+00 -1.33611021e+01 -5.28444338e+00
 -8.35544205e+00 -8.95737362e+00 -7.63057518e+00 -3.40105247e+00
 -6.50506783e+00 -5.56566520e-03 -1.53975260e+00  9.32992220e-01
  6.10945177e+00  2.69073367e+00  3.82883477e+00  1.03266346e+00
 -1.04082537e+00  8.98125246e-02 -1.82743526e+00  6.84362710e-01
 -7.70462036e-01 -4.44323450e-01 -4.54116911e-01 -1.66644096e-01]",Sarah Silverman
"[-2.72392609e+02  7.05217972e+01 -2.73890247e+01  1.52678862e+01
 -2.04168587e+01 -2.06913929e+01 -2.13849583e+01 -1.40196362e+01
 -1.99827023e+01  6.40314531e+00 -1.73966122e+01  1.49229443e+00
 -1.30717010e+01 -5.91766894e-01 -1.13827305e+01 -5.22782183e+00
 -4.11008215e+00 -2.56105924e+00 -9.64454556e+00 -4.54102047e-02
 -6.35533762e+00 -4.71252632e+00 -4.06865644e+00 -1.69470203e+00
 -7.27385616e+00  3.23280722e-01 -6.27187681e+00  4.83085513e-01
  3.82965517e+00  4.90978003e+00  6.52974367e+00  5.96430445e+00
  8.82478142e+00  3.96320033e+00  2.99335599e+00  5.55801988e-01
 -1.62606156e+00 -1.07977653e+00 -1.67341900e+00 -1.37992144e+00]",Sofia Franklyn
"[-3.02744202e+02  7.69225159e+01 -2.57114887e+01  3.45736694e+01
 -8.53675270e+00 -1.31909237e+01 -2.31458092e+01 -2.13822651e+01
 -5.01654387e+00 -2.26353931e+00 -2.04934425e+01 -3.70258689e+00
 -1.00403929e+01  5.59493065e+00 -9.81603813e+00 -1.05055895e+01
 -8.16828823e+00 -8.17649651e+00 -6.01419878e+00 -2.16572738e+00
 -7.15413809e+00 -5.28402424e+00 -7.15767050e+00  1.61808622e+00
 -2.76570010e+00  6.68664038e-01 -3.51265478e+00 -3.32278466e+00
 -3.22367764e+00 -2.95883441e+00  1.98739290e+00 -1.34597325e+00
  1.75688636e+00 -1.27079213e+00 -1.61178780e+00 -1.81123745e+00
 -3.82174969e-01 -2.94077247e-01 -2.70178342e+00 -2.44690442e+00]",Sofia Franklyn
